dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,49.081205,10.039049,4.650882,3.266765,1.086430,-0.143385,3.476370
0.020000,49.019132,10.017311,4.716651,3.288448,1.084161,-0.113469,3.480510
0.020000,48.956741,9.995172,4.782853,3.310095,1.082342,-0.090941,3.484648
0.020000,48.894037,9.972629,4.849486,3.331672,1.078871,-0.173533,3.488785
0.020000,48.831022,9.949679,4.916550,3.353199,1.076345,-0.126323,3.492919
0.020000,48.767700,9.926321,4.984043,3.374675,1.073775,-0.128498,3.497049
0.020000,48.704072,9.902551,5.051965,3.396098,1.071166,-0.130437,3.501174
0.020000,48.640144,9.878368,5.120315,3.417468,1.068523,-0.132149,3.505293
0.020000,48.575918,9.853770,5.189091,3.438785,1.065850,-0.133643,3.509405
0.020000,48.511397,9.828754,5.258291,3.460048,1.063152,-0.134928,3.513509
0.020000,48.446584,9.803320,5.327917,3.481257,1.060432,-0.136011,3.517605
0.020000,48.381482,9.777464,5.397965,3.502411,1.057693,-0.136904,3.521690
0.020000,48.316095,9.751185,5.468435,3.523510,1.054941,-0.137615,3.525764
0.020000,48.250425,9.724482,5.539326,3.544553,1.052178,-0.138154,3.529826
0.020000,48.184476,9.697353,5.610637,3.565541,1.049408,-0.138530,3.533875
0.020000,48.118251,9.669797,5.682366,3.586474,1.046632,-0.138752,3.537910
0.020000,48.051752,9.641813,5.754513,3.607351,1.043856,-0.138831,3.541929
0.020000,47.984983,9.613399,5.827077,3.628173,1.041080,-0.138777,3.545932
0.020000,47.917947,9.584554,5.900056,3.648942,1.038442,-0.131895,3.549918
0.020000,47.850646,9.555278,5.973449,3.669653,1.035582,-0.142999,3.553886
0.020000,47.783083,9.525570,6.047255,3.690308,1.032722,-0.143020,3.557834
0.020000,47.715261,9.495428,6.121473,3.710907,1.029965,-0.137836,3.561762
0.020000,47.647183,9.464852,6.196102,3.731453,1.027315,-0.132495,3.565668
0.020000,47.578851,9.433842,6.271141,3.751941,1.024402,-0.145656,3.569552
0.020000,47.510268,9.402398,6.346588,3.772375,1.021677,-0.136268,3.573412
0.020000,47.441438,9.370518,6.422444,3.792753,1.018902,-0.138750,3.577248
0.020000,47.372361,9.338204,6.498705,3.813077,1.016177,-0.136227,3.581058
0.020000,47.303041,9.305454,6.575372,3.833343,1.013327,-0.142522,3.584841
0.020000,47.233480,9.272269,6.652443,3.853557,1.010717,-0.130499,3.588597
0.020000,47.163681,9.238649,6.729917,3.873713,1.007799,-0.145874,3.592323
0.020000,47.093645,9.204594,6.807794,3.893820,1.005309,-0.124506,3.596020
0.020000,47.023375,9.170106,6.886071,3.913865,1.002248,-0.153059,3.599687
0.020000,46.952873,9.135183,6.964748,3.933862,0.999874,-0.118692,3.603321
0.020000,46.882141,9.099827,7.043824,3.953801,0.996968,-0.145313,3.606922
0.020000,46.811181,9.064039,7.123298,3.973687,0.994284,-0.134181,3.610490
0.020000,46.739996,9.027819,7.203169,3.993523,0.991787,-0.124869,3.614023
0.020000,46.668586,8.991169,7.283435,4.013301,0.988895,-0.144625,3.617520
0.020000,46.596953,8.954089,7.364095,4.033026,0.986250,-0.132205,3.620980
0.020000,46.525100,8.916581,7.445149,4.052701,0.983779,-0.123585,3.624402
0.020000,46.453028,8.878645,7.526596,4.072324,0.981133,-0.132265,3.627785
0.020000,46.380738,8.840284,7.608433,4.091892,0.978379,-0.137706,3.631128
0.020000,46.308231,8.801499,7.690661,4.111405,0.975694,-0.134287,3.634431
0.020000,46.235510,8.762291,7.773279,4.130871,0.973287,-0.120349,3.637692
0.020000,46.162575,8.722663,7.856285,4.150285,0.970694,-0.129625,3.640910
0.020000,46.089427,8.682616,7.939678,4.169647,0.968115,-0.128934,3.644084
0.020000,46.016067,8.642152,8.023457,4.188958,0.965551,-0.128201,3.647213
0.020000,45.942497,8.601273,8.107621,4.208218,0.963003,-0.127439,3.650297
0.020000,45.868717,8.559981,8.192170,4.227428,0.960470,-0.126658,3.653334
0.020000,45.794729,8.518279,8.277101,4.246587,0.957952,-0.125869,3.656324
0.020000,45.720531,8.476170,8.362415,4.265696,0.955450,-0.125082,3.659265
0.020000,45.646126,8.433655,8.448110,4.284755,0.952964,-0.124308,3.662157
0.020000,45.571514,8.390737,8.534186,4.303765,0.950493,-0.123556,3.664999
0.020000,45.496694,8.347419,8.620640,4.322726,0.948037,-0.122834,3.667789
0.020000,45.421668,8.303705,8.707473,4.341638,0.945593,-0.122153,3.670526
0.020000,45.346435,8.259596,8.794683,4.360501,0.943163,-0.121520,3.673211
0.020000,45.271352,8.215308,8.881854,4.358566,-0.096722,-51.994278,3.675829
0.020000,45.196802,8.171074,8.968540,4.334265,-1.215067,-55.917245,3.678368
0.020000,45.122808,8.126919,9.054707,4.308377,-1.294395,-3.966357,3.680828
0.020000,45.049363,8.082851,9.140358,4.282550,-1.291359,0.151759,3.683210
0.020000,44.976463,8.038877,9.225494,4.256783,-1.288337,0.151109,3.685515
0.020000,44.904103,7.995005,9.310115,4.231077,-1.285329,0.150393,3.687745
0.020000,44.832277,7.951241,9.394224,4.205430,-1.282337,0.149612,3.689900
0.020000,44.760980,7.907592,9.477821,4.179843,-1.279362,0.148766,3.691981
0.020000,44.690208,7.864065,9.560907,4.154315,-1.276405,0.147855,3.693990
0.020000,44.619955,7.820666,9.643484,4.128845,-1.273467,0.146879,3.695928
0.020000,44.550217,7.777401,9.725553,4.103434,-1.270550,0.145841,3.697796
0.020000,44.480988,7.734277,9.807114,4.078081,-1.267655,0.144740,3.699594
0.020000,44.412265,7.691299,9.888170,4.052785,-1.264822,0.141684,3.701325
0.020000,44.344042,7.648472,9.968721,4.027540,-1.262255,0.128319,3.702989
0.020000,44.276315,7.605803,10.048768,4.002357,-1.259148,0.155375,3.704587
0.020000,44.209080,7.563297,10.128313,3.977230,-1.256348,0.140007,3.706120
0.020000,44.142333,7.520958,10.207356,3.952158,-1.253575,0.138628,3.707589
0.020000,44.076068,7.478792,10.285898,3.927133,-1.251256,0.115941,3.708996
0.020000,44.010283,7.436804,10.363942,3.902169,-1.248213,0.152174,3.710341
0.020000,43.944972,7.394997,10.441487,3.877260,-1.245439,0.138680,3.711625
0.020000,43.880132,7.353378,10.518535,3.852395,-1.243270,0.108442,3.712849
0.020000,43.815760,7.311949,10.595087,3.827590,-1.240248,0.151146,3.714015
0.020000,43.751850,7.270716,10.671143,3.802834,-1.237790,0.122877,3.715123
0.020000,43.688400,7.229682,10.746706,3.778127,-1.235363,0.121362,3.716174
0.020000,43.625405,7.188851,10.821775,3.753475,-1.232594,0.138452,3.717169
0.020000,43.562863,7.148228,10.896353,3.728867,-1.230396,0.109889,3.718109
0.020000,43.500770,7.107815,10.970439,3.704314,-1.227650,0.137301,3.718995
0.020000,43.439122,7.067617,11.044035,3.679806,-1.225387,0.113147,3.719828
0.020000,43.377916,7.027636,11.117142,3.655348,-1.222924,0.123165,3.720609
0.020000,43.317148,6.987877,11.189761,3.630940,-1.220379,0.127242,3.721338
0.020000,43.256817,6.948342,11.261892,3.606573,-1.218377,0.100073,3.722017
0.020000,43.196917,6.909034,11.333537,3.582258,-1.215701,0.133796,3.722647
0.020000,43.137447,6.869956,11.404697,3.557990,-1.213429,0.113645,3.723228
0.020000,43.078404,6.831112,11.475373,3.533763,-1.211350,0.103923,3.723761
0.020000,43.019785,6.792504,11.545564,3.509585,-1.208911,0.121966,3.724247
0.020000,42.961586,6.754134,11.615273,3.485451,-1.206668,0.112142,3.724688
0.020000,42.903805,6.716005,11.684501,3.461362,-1.204469,0.109933,3.725082
0.020000,42.846440,6.678120,11.753247,3.437316,-1.202304,0.108259,3.725433
0.020000,42.789488,6.640480,11.821513,3.413313,-1.200168,0.106828,3.725740
0.020000,42.732946,6.603089,11.889300,3.389353,-1.197956,0.110598,3.726004
0.020000,42.676812,6.565948,11.956609,3.365437,-1.195835,0.106034,3.726226
0.020000,42.621084,6.529059,12.023440,3.341562,-1.193733,0.105088,3.726407
0.020000,42.565759,6.492424,12.089795,3.317729,-1.191651,0.104130,3.726547
0.020000,42.510836,6.456045,12.155673,3.293937,-1.189587,0.103160,3.726648
0.020000,42.456311,6.419924,12.221077,3.270186,-1.187544,0.102177,3.726710
0.020000,42.402183,6.384063,12.286007,3.246476,-1.185520,0.101182,3.726734
0.020000,42.348451,6.348463,12.350463,3.222806,-1.183517,0.100174,3.726720
0.020000,42.295110,6.313126,12.414446,3.199175,-1.181534,0.099155,3.726670
0.020000,42.242161,6.278053,12.477958,3.175584,-1.179571,0.098124,3.726584
0.020000,42.189601,6.243245,12.540999,3.152032,-1.177601,0.098517,3.726463
0.020000,42.137429,6.208705,12.603569,3.128518,-1.175676,0.096230,3.726308
