dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,48.089380,7.325875,5.772060,3.477744,1.160593,0.129202,3.592323
0.020000,48.026410,7.295256,5.842081,3.501015,1.163545,0.147560,3.596020
0.020000,47.963134,7.264199,5.912567,3.524334,1.165965,0.121007,3.599687
0.020000,47.899552,7.232705,5.983522,3.547714,1.168984,0.150982,3.603321
0.020000,47.835666,7.200771,6.054944,3.571144,1.171504,0.126006,3.606922
0.020000,47.771475,7.168396,6.126837,3.594628,1.174204,0.134970,3.610490
0.020000,47.706980,7.135581,6.199200,3.618169,1.177050,0.142312,3.614023
0.020000,47.642181,7.102323,6.272036,3.641760,1.179516,0.123280,3.617520
0.020000,47.577078,7.068623,6.345344,3.665403,1.182182,0.133336,3.620980
0.020000,47.511672,7.034480,6.419126,3.689103,1.184982,0.139986,3.624402
0.020000,47.445961,6.999893,6.493383,3.712855,1.187600,0.130886,3.627785
0.020000,47.379947,6.964863,6.568116,3.736657,1.190093,0.124664,3.631128
0.020000,47.313629,6.929388,6.643326,3.760509,1.192623,0.126499,3.634431
0.020000,47.247007,6.893468,6.719015,3.784417,1.195383,0.137994,3.637692
0.020000,47.180080,6.857105,6.795182,3.808376,1.197948,0.128271,3.640910
0.020000,47.112849,6.820297,6.871830,3.832386,1.200501,0.127652,3.644084
0.020000,47.045312,6.783044,6.948959,3.856447,1.203043,0.127087,3.647213
0.020000,46.977471,6.745348,7.026570,3.880558,1.205575,0.126570,3.650297
0.020000,46.909323,6.707209,7.104664,3.904720,1.208097,0.126099,3.653334
0.020000,46.840869,6.668626,7.183243,3.928932,1.210610,0.125669,3.656324
0.020000,46.772107,6.629602,7.262307,3.953195,1.213115,0.125278,3.659265
0.020000,46.703037,6.590135,7.341857,3.977507,1.215614,0.124922,3.662157
0.020000,46.633659,6.550228,7.421894,4.001869,1.218106,0.124599,3.664999
0.020000,46.563970,6.509881,7.502420,4.026281,1.220592,0.124305,3.667789
0.020000,46.493971,6.469095,7.583435,4.050742,1.223073,0.124039,3.670526
